"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","72075","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","73646","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","75695","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","79098","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","80727","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","82697","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","84489","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","86479","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","93724","","","","0"
"2021","Canada","2016A000011124","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325508","1.1.1","92500","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7850","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7791","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7760","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","7934","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8109","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8629","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8784","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","8968","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","10311","","","","0"
"2021","Canada","2016A000011124","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325510","1.1.3","10305","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","62430","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","66377","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","70193","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","75489","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","77339","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","78154","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","79831","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","79430","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","81444","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325592","3.1.1","82861","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","7591","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","7749","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","7830","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","7939","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","8489","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","8264","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","8938","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","7978","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","9435","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Average expenditure per household","Food expenditures","Dollars","81","units","0","v54325594","3.1.3","11511","","","","0"
"2010","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","59534","","","","0"
"2011","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","61328","","","","0"
"2012","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","67346","","","","0"
"2013","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","63348","","","","0"
"2014","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","68358","","","","0"
"2015","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","68441","","","","0"
"2016","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","68278","","","","0"
"2017","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","71100","","","","0"
"2019","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","75249","","","","0"
"2021","Prince Edward Island","2016A000211","Average expenditure per household","Total expenditure","Dollars","81","units","0","v54325634","4.1.1","78854","","","","0"
