"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","30907.3","","","","1"
"2020-02","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","30945.1","","","","1"
"2020-03","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","30988.3","","","","1"
"2020-04","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31014.2","","","","1"
"2020-05","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31037.6","","","","1"
"2020-06","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31070.8","","","","1"
"2020-07","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31100.2","","","","1"
"2020-08","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31126.0","","","","1"
"2020-09","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31154.4","","","","1"
"2020-10","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31172.3","","","","1"
"2020-11","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31185.8","","","","1"
"2020-12","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31193.7","","","","1"
"2021-01","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31203.9","","","","1"
"2021-02","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31221.9","","","","1"
"2021-03","Canada","2021A000011124","Population","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2062809","1.1.1.1.1.1","31235.6","","","","1"
