"REF_DATE","GEO","DGUID","Type of building","Type of work","Variables","Seasonal adjustment, value type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","8976855","","","","0"
"2020-02","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","8322252","","","","0"
"2020-03","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","7181264","","","","0"
"2020-04","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","5947094","","","","0"
"2020-05","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","7908855","","","","0"
"2020-06","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","8093744","","","","0"
"2020-07","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","8249588","","","","0"
"2020-08","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","8309603","","","","0"
"2020-09","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9903818","","","","0"
"2020-10","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9172436","","","","0"
"2020-11","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9605698","","","","0"
"2020-12","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9357372","","","","0"
"2021-01","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10612048","","","","0"
"2021-02","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10265220","","","","0"
"2021-03","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10747824","","","","0"
"2021-04","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11303998","","","","0"
"2021-05","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9812005","","","","0"
"2021-06","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9951548","","","","0"
"2021-07","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10182214","","","","0"
"2021-08","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","9687460","","","","0"
"2021-09","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10589804","","","","0"
"2021-10","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11329219","","","","0"
"2021-11","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11233674","","","","0"
"2021-12","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","11656234","","","","0"
"2022-01","Canada","2021A000011124","Total residential and non-residential","Types of work, total","Value of permits","Seasonally adjusted, current","Dollars","81","thousands","3","v1578843489","1.1.1.1.2","10802971","","","","0"
