"REF_DATE","GEO","DGUID","Investment income","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","14509","","","","0"
"2010-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","14634","","","","0"
"2010-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","15325","","","","0"
"2010-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","17168","","","","0"
"2011-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","16823","","","","0"
"2011-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","17016","","","","0"
"2011-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","17749","","","","0"
"2011-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","16626","","","","0"
"2012-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","18568","","","","0"
"2012-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","16142","","","","0"
"2012-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","19324","","","","0"
"2012-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","17700","","","","0"
"2013-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","17387","","","","0"
"2013-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","17374","","","","0"
"2013-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","19676","","","","0"
"2013-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","19967","","","","0"
"2014-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","20840","","","","0"
"2014-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","22071","","","","0"
"2014-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","20555","","","","0"
"2014-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","21084","","","","0"
"2015-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","22186","","","","0"
"2015-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","22822","","","","0"
"2015-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","22656","","","","0"
"2015-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","23131","","","","0"
"2016-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","21941","","","","0"
"2016-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","23455","","","","0"
"2016-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","24530","","","","0"
"2016-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","26269","","","","0"
"2017-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","26179","","","","0"
"2017-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","27874","","","","0"
"2017-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","29037","","","","0"
"2017-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","31833","","","","0"
"2018-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","32298","","","","0"
"2018-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","33055","","","","0"
"2018-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","33990","","","","0"
"2018-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","35804","","","","0"
"2019-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","35445","","","","0"
"2019-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","37544","","","","0"
"2019-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","33670","","","","0"
"2019-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","38987","","","","0"
"2020-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","34761","","","","0"
"2020-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","32954","","","","0"
"2020-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","29487","","","","0"
"2020-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","34026","","","","0"
"2021-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","35209","","","","0"
"2021-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","35257","","","","0"
"2021-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","36322","","","","0"
"2021-10","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","38796","","","","0"
"2022-01","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","36947","","","","0"
"2022-04","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","41233","","","","0"
"2022-07","Canada","2016A000011124","Total investment income, receipts","Dollars","81","millions","6","v112599","1.1","41005","","","","0"
