"REF_DATE","GEO","DGUID","Seasonal adjustment","Industries","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","601.5","","","","1"
"2010-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","596.4","","","","1"
"2010-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","597.0","","","","1"
"2010-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","596.7","","","","1"
"2011-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","600.1","","","","1"
"2011-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","601.3","","","","1"
"2011-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","607.4","","","","1"
"2011-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","610.7","","","","1"
"2012-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","610.6","","","","1"
"2012-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","613.6","","","","1"
"2012-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","616.8","","","","1"
"2012-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","620.2","","","","1"
"2013-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","620.8","","","","1"
"2013-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","624.5","","","","1"
"2013-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","627.0","","","","1"
"2013-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","629.2","","","","1"
"2014-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","631.5","","","","1"
"2014-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","636.6","","","","1"
"2014-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","636.0","","","","1"
"2014-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","641.3","","","","1"
"2015-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","641.0","","","","1"
"2015-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","647.4","","","","1"
"2015-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","650.9","","","","1"
"2015-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","653.0","","","","1"
"2016-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","659.4","","","","1"
"2016-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","663.2","","","","1"
"2016-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","670.2","","","","1"
"2016-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","671.4","","","","1"
"2017-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","672.7","","","","1"
"2017-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","679.7","","","","1"
"2017-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","681.9","","","","1"
"2017-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","682.1","","","","1"
"2018-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","681.7","","","","1"
"2018-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","688.1","","","","1"
"2018-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","694.0","","","","1"
"2018-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","695.9","","","","1"
"2019-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","700.2","","","","1"
"2019-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","702.3","","","","1"
"2019-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","704.8","","","","1"
"2019-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","709.1","","","","1"
"2020-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","659.4","","","","1"
"2020-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","361.7","","","","1"
"2020-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","448.2","","","","1"
"2020-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","461.7","","","","1"
"2021-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","449.4","","","","1"
"2021-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","459.7","","","","1"
"2021-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","535.1","","","","1"
"2021-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","573.5","","","","1"
"2022-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","576.6","","","","1"
"2022-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","633.9","","","","1"
"2022-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","658.1","","","","1"
"2022-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","669.4","","","","1"
"2023-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","688.8","","","","1"
"2023-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","690.9","","","","1"
"2023-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","690.7","","","","1"
"2023-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","698.1","","","","1"
"2024-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","700.9","","","","1"
"2024-04","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","702.1","","","","1"
"2024-07","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","701.1","","","","1"
"2024-10","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","706.5","","","","1"
"2025-01","Canada","2016A000011124","Seasonally adjusted","Tourism activities","Jobs","190","thousands","3","v81658","1.2.1","707.4","","","","1"
"2010-01","Canada","2016A000011124","Seasonally adjusted","Transportation","Jobs","190","thousands","3","v81660","1.2.3","72.6","","","","1"
