"REF_DATE","GEO","DGUID","Prices","Industries","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8162","","","","0"
"2010-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8235","","","","0"
"2010-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8289","","","","0"
"2010-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8339","","","","0"
"2011-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8382","","","","0"
"2011-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8458","","","","0"
"2011-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8502","","","","0"
"2011-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8552","","","","0"
"2012-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8576","","","","0"
"2012-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8649","","","","0"
"2012-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8702","","","","0"
"2012-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8722","","","","0"
"2013-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8696","","","","0"
"2013-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8708","","","","0"
"2013-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8658","","","","0"
"2013-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8705","","","","0"
"2014-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8769","","","","0"
"2014-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8886","","","","0"
"2014-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","8936","","","","0"
"2014-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9103","","","","0"
"2015-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9070","","","","0"
"2015-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9170","","","","0"
"2015-07","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9236","","","","0"
"2015-10","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9342","","","","0"
"2016-01","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9471","","","","0"
"2016-04","Canada","2016A000011124","2017 constant prices","Tourism activities","Seasonally adjusted at quarterly rates","Dollars","81","millions","6","v21400169","1.2.1.1","9547","","","","0"
